cob_dt,list_result
04-06-2024,"01,04,09,10,15,18,21,27,29,41,42,46,55,57,58,60,62,67,74,78,79,80,82,96"
05-06-2024,"06,08,16,20,21,29,30,31,32,35,39,44,45,48,53,56,66,67,68,78,81,82,89,92,95"
06-06-2024,"04,06,07,10,14,16,17,20,23,25,28,39,41,47,50,56,59,63,66,81,88,90"
07-06-2024,"01,03,11,12,19,25,26,32,33,40,42,43,44,47,50,51,57,59,61,66,84,85,86,90,93,96"
08-06-2024,"04,05,09,10,14,15,19,24,29,30,33,36,40,46,49,58,64,66,73,76,79,80,83,87,89"
09-06-2024,"01,06,18,19,20,22,26,32,44,53,59,65,66,74,78,80,81,84,92,97,98"
10-06-2024,"04,06,09,23,24,29,33,37,46,47,50,58,59,61,65,69,74,75,76,80,82,83,84,87,90,92,96"
11-06-2024,"00,05,07,09,14,15,21,22,23,31,37,42,44,50,52,53,54,55,60,64,70,73,91,93,94,96"
12-06-2024,"03,15,25,29,32,37,44,46,49,54,55,56,57,59,61,62,64,65,69,70,71,74,75,83,84,98"
13-06-2024,"02,16,18,21,26,33,35,38,43,48,50,60,62,63,75,78,79,81,90,91,92,97,98,99"
14-06-2024,"01,04,06,08,09,12,16,22,28,33,41,43,44,45,50,53,59,60,63,77,79,82,87,90,96"
15-06-2024,"06,12,13,16,18,21,26,35,45,52,53,59,63,64,67,69,73,77,78,83,85,89,96,98"
16-06-2024,"10,13,16,20,24,29,32,37,39,41,49,50,54,56,57,66,69,70,71,81,89,95,96,97"
17-06-2024,"02,03,07,09,17,22,30,32,34,38,39,42,46,49,52,53,59,64,65,72,88,90,91,96,98"
18-06-2024,"02,06,10,26,32,40,46,49,52,53,56,61,64,66,68,70,74,84,85,86,90,95,98,99"
19-06-2024,"02,07,11,14,23,24,29,32,37,41,42,49,55,56,57,61,66,67,71,77,78,79,89,93,95"
20-06-2024,"02,04,17,19,32,33,38,39,40,44,45,49,51,55,58,66,68,72,76,83,90,94"
21-06-2024,"06,11,13,17,19,22,28,29,35,37,42,45,47,51,52,61,72,76,85,89,92,95,96,97,99"
22-06-2024,"01,03,06,10,11,15,23,25,32,36,39,43,49,59,62,64,65,66,70,71,79,84,87,96"
23-06-2024,"01,02,05,08,12,16,32,33,36,43,49,55,57,59,64,65,72,78,79,82,94,96,99"
24-06-2024,"01,12,20,21,26,29,33,34,37,41,44,46,50,54,61,62,67,75,76,77,79,80,86,95"
25-06-2024,"00,03,09,16,20,25,28,35,36,37,43,45,50,56,68,71,75,76,82,84,92,94,95,97,98"
26-06-2024,"03,04,10,11,12,13,22,23,24,27,32,61,63,65,66,76,79,80,81,83,84,92"
27-06-2024,"01,04,07,09,14,16,22,23,26,31,42,45,46,55,63,66,67,70,81,83,89,92,95,99"
28-06-2024,"04,09,17,18,24,25,27,34,42,47,48,51,54,59,65,66,68,73,75,82,83,84,91,92,96"
29-06-2024,"00,04,05,14,23,25,30,33,36,39,40,41,42,43,45,49,54,56,59,61,66,72,78,85,90"
30-06-2024,"02,06,11,14,19,23,29,37,45,46,47,48,56,58,71,74,76,79,81,82,93,98"
01-07-2024,"02,04,10,12,14,16,18,22,34,38,45,48,53,59,60,65,67,78,80,82,85,86,90,99"
02-07-2024,"01,07,12,14,18,20,21,27,31,36,39,43,44,52,61,63,69,74,77,83,89,94,95"
03-07-2024,"01,03,07,15,16,19,29,32,35,38,39,46,53,57,63,66,70,81,89,90,91,94,97"
04-07-2024,"02,06,08,13,20,22,26,27,28,35,36,38,43,59,64,67,69,71,73,77,78,86,89,95,98"
05-07-2024,"00,01,09,18,24,25,26,29,31,35,36,39,41,46,49,50,57,60,65,68,72,76,85,90,96,99"
06-07-2024,"03,07,08,13,20,21,27,28,29,37,40,46,48,51,54,56,61,67,77,81,84,88,89,92,96"
07-07-2024,"00,02,11,14,16,17,26,28,36,37,45,58,63,69,70,73,76,77,78,79,80,81,86,92,94,99"
08-07-2024,"03,11,16,19,23,24,26,27,28,40,43,48,49,50,53,55,56,57,67,72,73,75,78,88,89,97"
09-07-2024,"01,03,04,07,13,22,31,42,45,48,52,55,59,66,68,72,73,76,78,93,94,98"
10-07-2024,"00,03,05,13,16,22,25,26,27,32,41,43,47,60,63,70,74,76,81,84,93,94,97,99"
11-07-2024,"00,02,05,07,11,16,21,23,29,32,33,39,45,51,52,53,57,59,65,71,83,86,87,99"
12-07-2024,"06,12,14,19,20,25,36,37,40,44,48,52,58,59,66,67,69,72,76,78,80,93,99"
13-07-2024,"01,12,14,15,20,33,35,37,52,53,55,60,65,68,70,72,76,82,84,89,96,97"
14-07-2024,"01,06,07,09,10,18,20,23,24,31,33,49,54,59,62,63,69,70,74,79,94,95,98,99"
15-07-2024,"00,18,24,28,30,34,35,39,40,41,46,49,52,53,63,66,67,80,81,84,94,97,99"
16-07-2024,"01,03,09,12,21,22,39,41,44,45,50,59,60,62,65,66,70,78,79,86,89,94,96,97"
17-07-2024,"00,01,15,17,18,21,22,23,24,25,33,36,47,52,59,62,64,70,73,76,81,83,85,87,88,91"
18-07-2024,"02,05,14,20,22,29,31,37,44,45,49,55,56,57,59,68,69,73,76,77,80,87,92,95,97"
19-07-2024,"07,20,22,24,29,32,36,39,45,48,52,60,66,73,77,78,84,85,88,90,92,94,98,99"
20-07-2024,"01,02,03,04,07,15,16,18,36,39,42,45,52,58,60,62,64,65,67,72,75,77,82,89,90,97"
21-07-2024,"05,06,07,21,22,27,30,32,36,42,45,51,54,66,73,76,80,81,89,90,92,96"
22-07-2024,"02,08,11,12,13,16,21,22,23,28,29,33,36,38,44,48,54,65,73,86,96,98,99"
23-07-2024,"06,20,21,25,28,32,34,35,37,39,40,41,42,44,55,56,63,64,66,72,73,74,86,89,91,99"
24-07-2024,"00,10,11,14,18,26,30,32,36,46,49,55,59,63,66,72,73,76,79,80,83,85,89,92,97"
25-07-2024,"02,03,11,15,16,21,22,23,30,32,52,56,59,60,62,66,68,73,74,75,86,92,96,97,99"
26-07-2024,"12,13,16,21,22,24,26,28,32,36,37,39,43,47,55,66,67,68,70,74,82,87,89,96,99"
27-07-2024,"16,19,22,28,29,41,47,50,53,60,68,70,72,74,79,80,83,84,89,90,92,94,96,97"
28-07-2024,"02,11,13,16,18,22,23,35,38,41,45,46,47,48,51,65,67,69,73,77,88,89"
29-07-2024,"06,08,11,14,15,17,19,22,23,25,26,32,40,46,48,49,55,57,59,71,91,92"
30-07-2024,"00,04,06,09,13,19,20,30,39,40,45,47,52,56,61,66,72,74,76,79,81,90,94,96"
31-07-2024,"05,06,07,12,14,20,21,23,26,31,33,35,38,39,40,42,49,64,69,72,78,81,92,98"
01-08-2024,"04,12,19,23,32,34,35,44,45,46,51,52,53,66,72,79,83,89,90,91,93,96"
02-08-2024,"01,07,12,14,27,34,36,37,39,42,54,55,56,59,63,65,66,73,74,80,84,87,88,97"
03-08-2024,"00,01,02,03,05,15,16,17,25,26,27,35,40,41,46,49,50,55,68,83,88,96,97,98"
04-08-2024,"00,03,06,07,08,09,10,12,13,14,21,22,24,29,32,36,37,49,61,75,77,78,82,85,86"
05-08-2024,"01,11,13,16,19,20,23,25,29,33,36,37,39,40,41,46,50,52,63,68,75,78,92,97"
06-08-2024,"04,08,11,12,14,15,17,19,23,24,25,36,50,57,59,61,69,70,71,73,77,80,82,85"
07-08-2024,"07,08,14,17,19,21,30,37,39,40,48,49,62,67,70,71,72,76,80,87,89"
08-08-2024,"00,04,13,17,27,32,40,52,57,59,62,66,67,74,77,81,82,84,87,89,90,91,99"
09-08-2024,"04,12,13,14,20,22,26,30,32,33,34,42,44,48,50,52,54,57,64,72,74,76,81,84,86,96,97"
10-08-2024,"05,06,08,15,21,22,29,31,34,38,40,46,49,52,62,72,80,89,90,91,92,96,98"
11-08-2024,"02,03,09,14,22,23,27,34,37,39,40,41,43,45,46,68,71,75,76,80,82,90"
12-08-2024,"07,08,09,13,16,19,25,26,28,31,32,43,44,50,52,57,62,64,65,67,73,75,76,92,96"
13-08-2024,"04,06,07,08,12,13,18,21,22,27,28,35,37,48,49,57,58,67,68,69,72,74,83,90,94"
14-08-2024,"00,09,22,23,28,29,37,39,44,47,51,58,64,65,69,71,72,74,80,85,92,94,97"
15-08-2024,"08,12,14,18,23,24,36,39,41,43,44,45,46,49,56,59,67,69,76,79,82,83,89,96"
16-08-2024,"00,04,06,07,12,15,20,21,24,27,29,32,35,38,41,52,56,58,65,74,77,78,81,90,97"
17-08-2024,"01,06,10,11,17,33,43,46,48,53,57,61,70,72,74,78,79,82,88,93,97"
18-08-2024,"13,14,15,24,33,44,45,46,48,51,58,61,62,68,69,76,80,85,86,88,90,96"
19-08-2024,"02,03,04,10,13,20,21,22,25,29,49,56,62,63,64,67,72,77,81,83,86,92,93,96"
20-08-2024,"02,04,08,09,10,11,15,17,19,23,24,35,36,37,38,43,49,54,55,63,76,86,93,99"
21-08-2024,"07,10,11,12,22,29,32,33,36,39,41,42,43,45,46,48,49,62,70,71,78,83,91,92,94,97"
22-08-2024,"03,05,06,07,09,11,13,17,21,23,33,36,38,43,45,61,63,72,76,81,84,88,90,93,94,95"
23-08-2024,"06,13,18,19,20,23,26,27,42,48,49,60,65,68,70,78,84,86,91,95,96"
24-08-2024,"00,03,13,15,16,23,26,32,35,39,42,48,51,56,67,70,71,73,75,78,91,93,98"
25-08-2024,"03,07,10,13,14,16,23,24,26,29,31,34,36,42,54,58,59,60,62,71,74,80,85,90,92,97,98"
26-08-2024,"00,03,04,05,21,26,31,32,34,38,63,64,65,66,69,72,73,81,82,83,87,94,95,99"
27-08-2024,"06,10,11,15,20,31,34,36,39,47,56,58,63,66,67,70,71,80,82,84,85,88,89,94,97"
28-08-2024,"04,06,10,12,13,15,18,20,23,24,26,35,43,45,49,51,52,53,54,55,60,72,78,79,81,82,83"
29-08-2024,"10,13,14,15,20,21,22,25,27,33,34,41,42,46,47,48,49,62,65,68,77,97"
30-08-2024,"07,09,11,14,16,17,29,30,38,41,42,47,53,54,55,63,65,70,72,74,76,91,93,94,95,96,98"
31-08-2024,"01,07,09,14,15,16,18,21,27,29,32,42,47,49,51,56,58,59,66,68,76,82,85,86,88,93"
01-09-2024,"00,01,02,05,09,25,28,29,30,31,34,39,45,50,56,61,62,69,76,78,82,90,96"
02-09-2024,"03,12,13,37,39,40,42,46,51,54,59,60,62,72,73,78,79,82,92,98"
03-09-2024,"01,09,11,15,16,18,22,23,24,29,32,33,37,42,43,46,47,60,61,62,63,66,69,78,89,97"
04-09-2024,"00,03,07,17,23,35,36,39,48,50,56,58,60,65,68,69,71,73,75,83,87,96,97,98,99"
05-09-2024,"01,02,03,06,15,22,29,30,31,45,52,57,67,72,74,75,88,93,96,97,98,99"
06-09-2024,"03,11,14,18,19,22,26,30,40,42,43,44,48,50,57,59,63,69,75,76,78,94,97"
07-09-2024,"03,07,10,11,13,22,24,29,35,36,43,44,45,47,50,55,56,61,64,66,74,75,76,86,87"
08-09-2024,"09,11,19,22,30,32,33,34,36,42,54,55,58,60,69,78,79,87,89,91"
09-09-2024,"01,05,09,15,16,18,21,22,24,25,32,36,39,51,54,56,70,72,78,81,87,96,99"
10-09-2024,"01,03,08,11,14,19,21,28,32,37,49,52,54,57,61,62,66,68,69,76,77,94,95"
11-09-2024,"05,11,16,23,25,33,38,40,41,42,43,47,49,58,63,69,72,74,77,84,88,90,97,98"
12-09-2024,"08,19,24,26,28,32,35,49,53,54,58,59,61,63,67,72,73,75,79,86,87,94,99"
13-09-2024,"01,02,03,11,13,26,28,30,35,36,37,39,40,44,53,57,64,67,69,75,85,86,87,93,97"
14-09-2024,"09,18,22,25,29,32,36,42,43,44,53,54,56,58,67,69,73,78,85,86,92,95"
15-09-2024,"04,19,24,27,31,38,39,43,59,64,68,69,71,73,78,81,85,87,89,90,98,99"
16-09-2024,"01,02,15,19,20,21,23,26,40,43,45,52,54,55,60,65,69,70,75,76,80,89,94,95,99"
17-09-2024,"06,13,27,29,35,36,41,51,53,57,63,64,65,66,70,75,78,79,80,81,87,93,94,95,97"
18-09-2024,"00,01,04,09,10,13,14,18,20,24,41,43,48,51,57,62,63,73,78,80,86,94,97,98"
19-09-2024,"03,05,06,09,13,24,25,26,32,35,38,42,43,47,54,55,58,61,75,85,87,89,90,92,98,99"
20-09-2024,"07,10,11,14,21,25,31,35,37,44,53,55,57,59,68,69,72,74,77,81,90,95,97,98"
21-09-2024,"14,15,17,21,23,24,29,35,36,39,44,46,49,54,55,59,70,87,89,91,92,94,98"
22-09-2024,"00,08,11,14,15,19,24,31,40,41,43,46,47,50,53,58,61,67,68,73,79,83,86,88,89,92,96"
23-09-2024,"11,13,16,18,26,28,32,48,50,52,55,66,68,69,71,76,85,87,89,90,95"
24-09-2024,"01,05,06,07,08,11,12,15,18,22,27,31,32,33,34,43,45,49,66,68,84,86,87,90,95,97"
25-09-2024,"00,04,07,10,13,28,30,35,36,38,41,43,47,58,60,69,84,86,88,89,90"
26-09-2024,"04,05,12,18,22,26,27,33,34,40,41,46,48,49,54,59,60,69,71,76,84,85,96,98"
27-09-2024,"03,05,10,11,14,16,17,18,22,27,41,44,50,51,52,59,61,64,72,74,76,80,85,89,93"
28-09-2024,"01,08,11,14,15,16,19,23,25,26,34,38,46,59,72,74,75,76,77,81,91,94,98"
29-09-2024,"10,12,13,16,17,22,27,29,35,37,39,40,49,59,62,66,67,76,77,82,86,91,93,96"
30-09-2024,"02,05,07,10,11,23,26,27,28,29,40,42,49,53,65,67,73,74,82,84,85,92,93"
01-10-2024,"09,12,13,17,20,26,29,36,37,43,49,51,52,56,58,60,63,64,66,72,79,85,93"
02-10-2024,"02,04,07,15,22,24,35,36,37,38,49,50,53,55,56,62,63,65,73,80,83,84,86,99"
03-10-2024,"01,02,08,10,16,17,23,27,32,33,36,47,50,56,58,61,67,68,72,73,82,88,94,96"
04-10-2024,"04,05,08,10,11,12,17,18,21,24,26,27,43,45,46,50,54,58,66,77,80,82"
05-10-2024,"00,03,06,07,15,16,17,24,26,30,34,40,44,50,52,71,72,75,80,81,83,86,87"
06-10-2024,"09,10,19,20,24,28,32,34,35,44,47,50,52,58,62,63,70,72,73,74,75,81,90,91,93,97"
07-10-2024,"04,08,13,16,25,38,42,45,47,49,58,65,67,69,70,72,73,74,75,80,85,87,88,90,91"
08-10-2024,"02,14,19,20,24,31,35,39,41,45,57,63,68,71,74,76,80,81,91,94,95,96,99"
09-10-2024,"08,16,18,19,21,24,25,29,30,31,33,42,43,45,53,54,59,76,79,83,85,91,95,98"
