cob_dt,list_result
26-11-2023,"02,06,07,12,17,20,23,43,45,52,53,57,60,67,68,73,82,84,86,88,96,99"
27-11-2023,"00,03,10,17,18,27,36,37,46,47,54,57,59,70,72,77,78,79,81,86,91,92"
28-11-2023,"01,02,03,06,07,09,10,12,13,15,18,28,30,32,36,39,48,54,70,71,82,83,99"
29-11-2023,"05,08,10,17,18,33,38,39,41,42,45,50,53,59,65,70,73,78,80,83,87,88,89,90"
30-11-2023,"02,05,07,13,16,19,26,29,32,36,43,44,47,55,58,73,79,81,84,86,87,91,98,99"
01-12-2023,"00,01,10,17,18,20,25,28,30,32,41,42,43,49,62,64,74,79,82,84,87,94"
02-12-2023,"04,07,12,17,19,22,23,25,26,27,30,33,35,36,37,52,54,55,61,65,72,77,78,85"
03-12-2023,"07,13,16,17,19,20,21,28,30,34,37,39,47,55,61,63,64,74,80,88,91,96"
04-12-2023,"05,08,12,16,18,19,20,21,22,23,25,31,33,36,37,46,47,48,54,55,59,75,92,94"
05-12-2023,"00,06,07,21,31,36,38,40,41,44,51,57,59,61,62,66,73,75,76,78,81,84,99"
06-12-2023,"00,08,11,12,13,17,19,27,34,37,44,45,58,60,61,62,78,80,88,89,92"
07-12-2023,"13,14,17,24,25,27,29,37,40,41,44,46,47,48,51,58,60,61,68,69,73,78,91,96,99"
08-12-2023,"05,06,07,15,23,27,39,62,63,71,73,75,81,84,85,86,93,94,97,99"
09-12-2023,"00,01,04,12,13,21,22,24,25,33,34,41,47,51,52,53,57,79,85,87,89,92,94,96,98,99"
10-12-2023,"04,08,12,13,18,37,45,52,55,58,60,63,69,70,72,73,77,86,88,91,92,95"
11-12-2023,"01,07,12,13,15,18,28,29,32,33,34,37,38,42,46,48,56,61,66,75,79,81,82,85"
12-12-2023,"07,11,15,17,18,21,24,28,29,41,45,46,48,51,54,58,63,67,70,74,93,97,98"
13-12-2023,"00,03,06,07,10,14,15,36,41,42,44,46,52,53,55,56,59,75,76,83,85,92"
14-12-2023,"03,06,15,17,20,36,44,45,47,49,51,61,64,65,74,75,76,77,82,84,85,86,95"
15-12-2023,"04,06,09,12,13,16,20,32,33,35,39,47,56,60,63,64,72,73,76,94"
16-12-2023,"05,06,09,14,16,25,33,34,42,56,62,67,69,71,78,79,81,86,88,89,90,94,96"
17-12-2023,"04,20,24,30,32,43,47,49,55,57,58,59,61,62,63,65,66,68,70,88,90,92,98,99"
18-12-2023,"04,07,10,14,19,29,32,37,43,48,51,55,58,59,60,65,66,67,77,84,88,89,90,94"
19-12-2023,"01,02,04,05,06,08,14,18,19,32,39,40,47,57,61,62,66,70,77,79,82,88,90,93"
20-12-2023,"10,13,19,21,23,30,35,36,41,47,50,55,63,76,77,78,79,82,87,89,90,93,95,99"
21-12-2023,"00,03,09,17,21,23,26,41,46,49,61,66,75,79,80,81,83,85,86,87,90,93,97"
22-12-2023,"11,12,14,16,18,20,23,28,32,35,39,51,52,59,60,62,64,68,76,78,79,82,90,91,92,99"
23-12-2023,"06,08,10,16,20,27,32,33,34,36,41,44,47,49,62,63,64,72,75,80,87,89,95"
24-12-2023,"04,12,16,19,20,28,36,38,43,44,46,47,48,54,57,62,65,78,81,82,83,92,94,95,98"
25-12-2023,"05,11,19,20,25,34,40,47,51,53,54,59,61,62,63,67,81,84,87,88"
26-12-2023,"03,16,17,20,24,25,26,29,30,31,36,41,42,44,49,52,56,72,73,75,81,85,96,98"
27-12-2023,"10,17,18,19,21,24,27,28,32,36,40,42,44,45,48,63,66,69,90,91,98"
28-12-2023,"01,11,12,14,20,23,25,31,35,38,39,51,52,54,63,66,68,71,72,79,82,83,93"
29-12-2023,"01,07,08,16,20,21,24,38,40,43,45,47,50,56,59,60,74,84,85,86,87,93,94,95"
30-12-2023,"03,08,10,19,23,26,37,38,41,43,44,45,53,63,64,65,68,69,70,76,80,82,83,89,98"
31-12-2023,"00,02,05,09,17,31,36,38,42,43,48,52,58,65,67,68,77,82,86,89,92,95"
01-01-2024,"06,22,31,32,34,41,45,46,51,53,55,65,66,67,70,72,73,79,80,84,86,88,97,98"
02-01-2024,"00,01,04,05,08,10,20,21,22,23,30,35,39,44,48,50,56,59,69,73,75,83,87,98"
03-01-2024,"10,14,18,19,20,25,31,32,34,35,36,42,44,45,48,61,62,66,69,72,75,83,85,95,98"
04-01-2024,"02,12,13,18,20,27,28,30,34,36,40,47,49,61,62,63,64,65,67,71,72,73,74,78,94,96"
05-01-2024,"01,04,11,15,17,26,32,37,41,45,47,50,52,53,58,59,61,63,67,69,93,96"
06-01-2024,"03,04,06,12,14,17,24,26,28,31,36,58,65,69,74,75,81,87,94,96,97"
07-01-2024,"01,02,03,05,08,12,13,15,18,19,41,42,61,65,67,68,69,71,75,79,85,89,98,99"
08-01-2024,"02,13,19,21,23,30,31,32,39,40,53,54,56,61,64,68,75,77,78,87,88,89,91,95,98"
09-01-2024,"02,08,21,23,29,43,49,53,54,55,59,60,61,62,68,70,71,75,77,82,83,87,91"
10-01-2024,"01,05,07,09,14,18,27,32,33,37,40,43,53,54,55,59,64,67,79,82,83,84,90,91,95"
11-01-2024,"09,11,13,21,22,23,28,31,43,45,47,49,65,75,78,81,82,84,85,87,90,91,93,97"
12-01-2024,"00,02,06,10,13,15,16,25,33,47,53,55,56,58,59,65,72,75,77,81,83,84,86,93,96"
13-01-2024,"04,13,15,17,29,31,32,43,44,58,63,69,72,75,85,86,87,90,91,95,97,99"
14-01-2024,"03,12,13,14,15,16,18,25,27,34,36,38,41,47,57,59,71,75,76,81,84,85,91,99"
15-01-2024,"15,20,21,26,34,35,37,39,42,44,45,47,55,59,61,64,67,73,74,75,93,94,95,97"
16-01-2024,"01,02,03,07,09,15,23,28,36,37,39,41,42,43,55,58,63,71,79,81,90,92,93"
17-01-2024,"03,09,11,15,16,17,19,26,27,30,33,35,37,43,44,50,51,52,53,67,70,76,80,84,87,91,94"
18-01-2024,"00,10,11,14,17,23,25,33,36,43,47,48,49,59,64,71,76,77,78,84,86,90,98,99"
19-01-2024,"09,11,17,21,24,26,31,32,33,34,35,38,45,46,50,55,61,69,74,75,81,82,86,87,88,93"
20-01-2024,"00,10,11,13,15,16,26,29,30,38,39,44,47,52,53,59,64,65,68,77,90,93"
21-01-2024,"11,13,14,16,17,18,19,20,21,27,28,32,34,35,37,41,42,49,56,59,64,65,76,79,86"
22-01-2024,"10,13,14,17,18,20,23,29,33,34,35,36,44,47,52,56,60,63,65,74,79,81,82,86,88,91"
23-01-2024,"00,06,11,12,16,17,21,22,25,41,45,46,49,52,66,68,74,75,82,91,97,98"
24-01-2024,"02,03,06,07,08,09,11,16,20,22,24,25,29,31,36,38,43,49,56,57,61,69,74,81,89,90,95"
25-01-2024,"01,04,06,12,14,17,24,25,27,35,39,41,42,48,53,56,57,58,61,66,75,79,81,90,93,99"
26-01-2024,"06,07,11,18,20,23,33,38,42,44,47,48,52,56,58,59,60,68,79,88,91,96,97,99"
27-01-2024,"10,15,16,17,20,21,23,24,27,31,37,40,49,68,70,72,75,76,79,80,91,94,95"
28-01-2024,"00,02,03,10,11,16,21,26,28,38,41,43,45,49,51,53,65,74,78,79,84,86,87,89,96"
29-01-2024,"09,11,12,14,32,35,38,41,43,46,50,52,54,56,65,71,74,81,83,85,89,99"
30-01-2024,"03,11,21,24,26,32,36,38,41,46,53,56,57,60,63,65,71,83,88,90,94,95,96"
31-01-2024,"00,25,27,31,36,37,40,44,50,51,53,63,66,67,68,69,76,82,86,96,97,99"
01-02-2024,"01,15,16,18,28,32,42,44,54,59,61,62,70,77,79,80,82,84,86,87,92,99"
02-02-2024,"02,05,08,18,31,35,39,42,51,55,63,67,68,71,74,76,77,80,84,90,93,94,96,97"
03-02-2024,"12,14,16,18,19,21,22,33,35,36,41,42,58,62,65,69,80,84,88,89,92,93,97"
04-02-2024,"00,04,12,14,20,27,33,34,41,42,44,46,51,56,59,61,64,66,68,78,81,87,97,98"
05-02-2024,"02,06,07,16,22,23,26,32,35,38,40,42,49,51,59,60,61,71,75,76,79,80,81,90"
06-02-2024,"05,06,09,10,11,12,15,17,20,36,41,46,52,57,59,61,67,73,81,83,84,86,90,92,95,96"
07-02-2024,"04,05,06,11,18,31,38,43,52,53,62,64,69,73,74,77,78,84,89,90,96,99"
08-02-2024,"03,04,08,15,21,23,27,31,39,42,45,51,52,56,61,70,73,76,88,90,97"
09-02-2024,"03,04,08,15,21,23,27,31,39,42,45,51,52,56,61,70,73,76,88,90,97"
10-02-2024,"03,04,08,15,21,23,27,31,39,42,45,51,52,56,61,70,73,76,88,90,97"
11-02-2024,"03,04,08,15,21,23,27,31,39,42,45,51,52,56,61,70,73,76,88,90,97"
12-02-2024,"03,04,08,15,21,23,27,31,39,42,45,51,52,56,61,70,73,76,88,90,97"
13-02-2024,"00,02,03,05,10,11,14,20,23,31,40,44,47,49,50,63,66,76,77,80,82,87,95,99"
14-02-2024,"01,03,04,15,22,26,37,40,41,51,53,54,62,67,70,74,76,83,87,90,94"
15-02-2024,"08,10,11,13,14,18,20,22,26,31,33,35,39,41,44,51,52,58,61,62,65,69,70,76,79"
16-02-2024,"05,20,29,31,34,35,41,50,54,58,61,64,66,67,76,83,84,93,95,98,99"
17-02-2024,"05,07,12,16,18,21,25,32,33,42,45,49,51,55,57,62,66,67,73,77,89,92,94,95"
18-02-2024,"03,07,09,10,14,18,24,28,29,32,43,45,49,50,51,56,62,64,70,79,88,90,91,93,97,98"
19-02-2024,"01,02,15,19,20,24,31,40,42,44,53,54,57,58,59,60,64,66,70,82,85,95"
20-02-2024,"00,05,06,15,16,18,19,21,22,30,31,32,39,41,50,56,58,60,66,68,73,78,79,80,83,92"
21-02-2024,"08,13,18,19,28,31,34,36,37,40,48,49,51,52,61,64,69,72,83,87,88,91,98"
22-02-2024,"04,11,12,13,20,25,26,34,37,38,47,48,50,60,66,67,70,72,78,81,88,90,93,95,99"
23-02-2024,"00,04,08,20,24,25,30,35,37,39,40,41,45,47,53,68,69,73,75,79,83,88,89,90,93"
24-02-2024,"04,19,22,24,31,33,35,36,37,40,42,43,44,45,47,51,52,56,60,69,70,82,90,96,99"
25-02-2024,"04,06,07,10,16,19,41,45,46,47,51,61,62,67,70,80,87,89,92,98"
26-02-2024,"03,14,19,20,24,30,32,33,34,39,42,46,52,53,56,63,71,75,78,82,85,88,89,92,97"
27-02-2024,"02,05,09,16,20,22,24,50,54,61,62,63,65,67,68,71,76,78,80,81,85,86,94,97"
28-02-2024,"02,05,14,17,21,29,33,37,45,49,52,53,56,61,67,76,77,78,88,89,90,94,95,96"
29-02-2024,"02,08,10,13,19,23,26,27,28,29,30,31,46,48,53,54,60,66,68,83,89,92,94,99"
01-03-2024,"00,05,07,16,21,23,25,26,29,31,40,42,43,46,53,61,63,65,70,71,84,86,88,92,96"
02-03-2024,"06,07,19,24,27,28,31,33,41,53,60,63,66,71,77,82,87,91,93,94,95,98"
03-03-2024,"00,03,05,08,11,14,16,17,32,37,40,44,47,63,64,72,74,77,83,86,88,93,95,99"
04-03-2024,"00,07,08,16,20,21,33,35,36,38,42,43,47,51,62,64,65,66,70,71,72,91,93"
05-03-2024,"00,02,05,12,18,21,22,26,29,45,48,51,69,75,78,83,84,88,89,92,99"
06-03-2024,"09,10,13,16,25,28,30,39,41,42,43,45,46,48,49,50,56,74,77,81,92,96,98"
07-03-2024,"00,05,06,25,33,36,37,38,39,41,42,47,48,49,52,67,75,82,85,86,90,93"
08-03-2024,"07,11,14,22,24,25,26,27,43,44,50,52,56,63,65,69,78,82,87,89,94,97"
09-03-2024,"10,13,19,20,28,29,34,39,41,53,54,66,68,69,77,78,82,84,85,86,97"
10-03-2024,"00,03,05,06,08,15,26,29,30,38,43,47,52,55,57,58,63,64,68,73,79,80,88,90,99"
11-03-2024,"07,10,11,14,19,28,31,33,37,38,39,40,46,65,67,71,72,75,79,85,86,88,89,99"
12-03-2024,"01,02,10,12,19,25,34,44,49,51,56,62,64,68,75,76,78,89,91,92,93,94,95,97"
13-03-2024,"03,15,17,28,31,34,43,49,50,53,54,60,63,65,66,72,74,77,78,79,80,84,91"
14-03-2024,"02,03,07,09,11,14,18,27,28,30,42,45,49,57,59,64,69,72,84,89,94,99"
15-03-2024,"00,02,09,25,26,32,34,35,39,41,49,51,54,57,59,61,66,72,76,79,81,84,85,91,94,99"
16-03-2024,"04,09,13,15,19,20,25,26,27,34,42,46,49,50,58,62,67,70,74,77,79,83,84,92,97"
17-03-2024,"01,02,05,07,09,11,20,23,25,29,30,39,50,52,54,57,59,61,64,79,83,90,94,99"
18-03-2024,"02,06,08,13,23,24,25,27,29,47,49,53,62,63,76,78,79,82,89,90,95,97"
19-03-2024,"00,02,16,22,30,32,33,36,44,48,51,55,56,59,65,72,73,81,83,86,87,95,96,98,99"
20-03-2024,"04,05,14,15,23,25,26,29,37,38,43,44,45,50,54,61,63,65,71,73,75,81,87,95"
21-03-2024,"01,07,13,18,20,25,26,33,38,39,43,49,52,56,63,66,68,79,84,87,89,91,93,98"
22-03-2024,"02,03,21,22,23,27,40,56,59,60,63,69,71,79,82,84,86,91,95,97,98"
23-03-2024,"00,01,08,09,12,14,16,20,21,22,27,30,32,40,42,50,51,55,60,61,73,79,82,85"
24-03-2024,"03,05,09,12,13,15,29,32,33,35,39,41,42,48,50,52,54,61,69,71,74,84,89,90,93,97"
25-03-2024,"02,11,13,14,19,21,22,25,35,37,38,39,40,42,46,49,54,60,61,70,77,92,96,99"
26-03-2024,"04,07,08,15,17,19,20,21,28,32,37,39,40,42,59,71,73,78,80,81,82,86,92,99"
27-03-2024,"02,07,11,14,16,18,25,28,29,38,45,55,56,59,69,74,75,79,84,86,87,97"
28-03-2024,"00,03,07,13,15,26,28,44,50,52,58,60,61,70,79,82,83,85,86,89,90,91,95,96,98"
29-03-2024,"00,05,11,17,18,27,29,31,41,47,49,52,53,54,62,63,67,69,79,86,87,89,90,96"
30-03-2024,"09,11,17,20,23,26,29,31,33,35,40,41,44,52,56,57,60,65,67,72,94,96,99"
31-03-2024,"02,03,09,11,17,26,27,28,32,35,46,47,57,59,69,71,74,79,81,83,87,88,90,91"
01-04-2024,"02,05,06,09,10,12,33,38,42,45,52,54,57,59,63,66,79,80,83,90,93,97,99"
02-04-2024,"02,05,06,09,14,28,29,35,48,49,54,55,57,62,65,66,72,77,80,81,83,86,87,91"
03-04-2024,"06,09,10,11,15,17,22,24,32,38,39,49,64,67,71,73,79,81,93,94,95,96"
04-04-2024,"01,03,11,28,31,40,42,52,57,58,65,76,78,86,88,89,90,91,96,99"
05-04-2024,"05,06,07,10,11,13,15,18,19,23,25,33,34,49,65,66,69,70,72,89,91,92,97,99"
06-04-2024,"01,03,05,08,12,20,21,23,32,42,43,46,48,49,50,59,61,71,83,89,95,98,99"
07-04-2024,"00,13,17,18,24,25,27,32,34,37,39,44,49,50,57,61,65,66,69,72,74,75,85,96,97"
08-04-2024,"04,05,07,13,15,16,20,22,32,47,50,55,59,60,61,63,67,73,79,83,90,94,98"
09-04-2024,"10,13,16,17,24,26,27,30,41,55,57,60,62,66,68,69,74,84,95,98,99"
10-04-2024,"02,08,12,13,21,22,24,36,38,39,44,45,47,52,53,55,57,62,69,70,75,78,79,97"
11-04-2024,"09,10,28,33,35,36,40,42,50,51,52,53,56,61,63,73,78,80,81,86,87,88,93"
12-04-2024,"10,13,16,21,22,27,36,37,47,50,58,59,70,72,73,80,83,85,91,93,94,99"
13-04-2024,"03,10,12,15,20,28,30,35,41,49,52,56,58,61,64,67,75,78,80,83,89,90,92,96"
14-04-2024,"00,01,09,15,16,18,21,22,35,42,48,50,52,57,61,69,70,71,81,89,90,94,96"
15-04-2024,"00,03,04,05,13,22,25,26,29,33,34,37,46,48,49,51,54,61,69,73,79,81,84,93,98"
16-04-2024,"04,10,12,16,17,18,24,33,42,50,51,52,53,61,63,65,66,69,71,72,81,82,86,87,91"
17-04-2024,"00,03,06,17,18,27,28,29,33,34,40,41,47,50,54,60,69,71,74,77,89,90,92"
18-04-2024,"04,05,09,15,16,26,36,37,41,43,44,46,51,52,54,57,61,69,73,77,80,84,91,95,96,98"
19-04-2024,"06,10,14,16,19,22,23,24,26,32,38,43,45,49,56,57,58,59,70,71,74,85,92"
